FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
AS 8684,BNE,MUC,15963.20,01:33:38,1739
NK 0895,DEL,LHR,6731.39,07:54:11,1174
NK 0894,PER,CAN,6159.25,04:20:45,672
AS 7357,BNE,HAK,6983.40,03:20:20,1000
UA 6806,SFO,ORY,8977.26,19:13:43,1029
DL 0263,SEA,DTW,3092.98,07:40:54,513
DL 0262,AGP,VIE,2135.47,00:36:37,336
DL 1598,HGH,MEL,7965.55,20:56:17,1301
G4 0733,KUL,KIX,4943.26,09:42:43,1257
G4 0735,DOH,LAS,13052.34,15:18:57,2104
G4 0736,SHA,PHX,10907.07,19:50:14,1163
DL 1599,XIY,GRU,17321.49,09:58,2312
SY 7480,DEN,DCA,2369.11,01:53:49,420
G4 0738,FLL,HNL,7817.31,09:46:19,948
G4 0729,CJU,AMS,8926.64,03:15:43,999
SY 7481,JFK,SZX,12934.93,03:59:24,1466
WN 4492,ORD,ARN,6856.21,09:04:03,792
SY 7484,IAD,SFO,3883.40,18:43:22,548
NK 0885,SAN,MNL,11905.74,23:42:04,1275
AS 7341,ATL,DMK,14700.54,23:24:10,1602
SY 7485,CAN,LHR,9495.41,13:18:45,1470
WN 4496,SVO,WUH,6418.63,22:00:34,1074
AS 7345,PVG,SHA,45.31,12:53:44,194
AS 6014,MXP,IAH,8658.75,15:59:08,964
SY 6159,ATL,GRU,7510.60,20:21:18,859
AS 6012,DXB,BLR,2695.04,01:38:09,457
AS 7343,NKG,CGK,4405.29,22:15:45,614
AS 6011,FRA,ATH,1816.42,04:30:22,363
AS 7349,WUH,ATL,12589.05,21:18:39,1505
NK 9218,CKG,HNL,9346.38,06:33:10,1179
AS 6018,DOH,KMG,5114.84,22:31:18,699
AS 6017,BOS,LHR,5240.38,06:11:11,600
NK 9215,MAN,CGK,11803.33,04:03:36,1253
UA 5505,PHX,RUH,13142.23,04:57:38,1943
UA 5506,YYZ,LAS,3120.72,10:16:57,416
DL 2878,JFK,HAK,13265.07,21:58:18,1515
WN 3193,SVO,IAD,7810.80,14:42:37,904
AS 8661,PMI,ARN,2474.76,15:33:05,648
WN 3198,BOG,LHR,8473.64,13:48:16,1173
WN 3197,CTU,MAN,8353.20,19:01:48,890
NK 0878,SEA,OSL,7328.00,18:19:01,938
AS 7333,FCO,BOM,6193.50,12:10:29,993
AS 9994,TPA,JFK,1619.70,17:50:26,333
AS 8665,SYD,NKG,8050.05,18:09:26,1175
NK 0870,KIX,WUH,2007.84,02:24:42,420
G4 0793,HND,MIA,11999.56,12:24:21,1600
G4 9127,LHR,RUH,4940.08,16:06:33,598
DL 2860,CTU,DFW,12631.53,12:22:49,1359
UA 6820,ORY,HNL,11983.98,18:09:03,1440
WN 3190,KIX,FCO,9739.95,02:02:29,1215
WN 3184,KMG,DTW,12516.04,14:14:14,1463
DL 1526,VIE,PMI,1457.75,17:50:02,320
AS 9981,FLL,MEL,15620.35,14:53:38,1626
AS 9982,YVR,MAD,8423.81,19:53:47,1615
AS 7325,VIE,ATL,8023.82,16:05:01,1243
AS 8654,LIS,BOS,5124.69,09:26:51,677
AS 7324,MNL,PHX,12270.93,03:16:04,1291
UA 5526,YVR,MXP,8490.54,20:18:59,1170
UA 5527,RUH,DOH,495.48,13:54:23,196
AS 7318,BNE,ATL,14528.21,15:11:44,1927
AS 9979,BOS,EWR,322.68,10:43:56,105
F9 4806,ZRH,FLL,7813.49,14:52:22,3015
G4 0783,MIA,MEX,2051.13,14:32:32,388
DL 2890,SAN,SYD,12095.14,07:40:14,1318
G4 0786,ATL,SFO,3434.95,11:29:01,492
DL 2895,CGK,DCA,16357.13,22:42:39,1835
DL 0231,LAX,DFW,1982.92,05:20:08,418
DL 2896,MCO,MIA,309.97,14:39:46,202
F9 4807,NBO,MEX,14822.34,09:49,2347
UA 6853,DXB,AUH,116.26,18:42:52,124
DL 0229,IST,MIA,9584.60,09:44:16,1099
NK 0856,CJU,BOG,15243.48,18:40:12,1651
AS 9976,HGH,FLL,13382.09,23:08:07,1478
AS 8646,DTW,PER,17963.04,22:44:24,2046
G4 9115,ZRH,BOM,6539.40,08:38:08,1314
AS 8641,FRA,CMB,8067.10,10:55:28,1014
UA 6847,ARN,IAD,6629.46,15:56:17,781
AS 7307,PER,KIX,7651.01,05:25:57,888
UA 6849,SZX,LHR,9594.08,06:59:24,1019
UA 5518,ATH,MEX,11294.81,23:40:33,1616
UA 6848,CDG,FRA,448.78,13:45:29,257
G4 9105,AMS,LHR,370.30,20:06:28,214
DL 2881,NKG,AMS,8698.25,22:57:50,1401
DL 1550,RUH,AMS,4640.34,13:31:59,630
G4 0772,ICN,CKG,2020.39,22:24:55,574
DL 2882,HEL,DFW,8387.55,15:47:39,896
DL 2886,DEN,LGW,7533.56,07:46:20,1217
UA 5514,TPA,TAO,12479.52,19:49:25,1437
NK 0843,MEL,IAD,16355.23,12:36:49,2593
SY 6197,BNE,HGH,7287.04,18:41:16,1185
DL 0219,DTW,SHA,11470.40,15:53:51,1307
AS 8634,SFO,BLR,13987.55,20:18:49,1941
AS 9967,LHR,OSL,1205.68,20:39:19,277
NK 0840,VIE,SYD,15965.22,00:51:13,1659
AS 7304,SYD,VIE,15965.22,01:34:11,1770
AS 7303,HGH,MAD,10265.36,00:50:08,1126
F9 4824,NBO,CKG,8135.62,23:35:56,988
AA 4185,SIN,SHA,3786.98,06:14:21,570
F9 4821,AMS,HAK,9277.29,08:11:30,1075
F9 4827,KMG,SYD,8312.46,19:38:35,1011
AS 9959,ATL,DCA,879.59,14:48:11,360
F9 4825,BOM,CLT,13374.46,06:09:22,1409
B6 0358,HEL,DEN,7970.83,09:12:39,923
F9 4829,BOM,BOS,12242.16,22:52:20,1331
B6 1682,CMB,AYT,5949.82,03:01:19,813
NK 0831,YVR,DOH,11718.49,14:20:36,2728
B6 0354,ATL,DFW,1174.74,17:06:04,365
B6 1683,MIA,BLR,15067.74,05:29:51,1636
AS 8622,CGK,MEL,5210.60,07:28:52,773
AS 9954,FCO,PEK,8148.69,22:42:14,880
F9 4835,DMK,YVR,11788.65,10:22:36,1367
WN 5728,OSL,BOM,6627.53,12:53:57,907
B6 0369,CGK,HAK,2927.51,12:08:14,546
NK 0827,BWI,LIS,5693.45,14:24:38,745
AA 4170,TPE,AYT,8404.21,07:17:27,916
G4 9162,SFO,DFW,2352.00,02:19:16,479
B6 0364,BCN,VIE,1369.69,07:12:07,363
AS 8611,BCN,KIX,10330.81,07:41:49,2196
AS 9942,ATH,BNE,15175.92,03:31:41,1725
F9 3515,DEL,MAD,7254.84,18:00:05,839
F9 4849,HND,CPH,8708.46,01:32:08,1015
AS 8607,SEA,HEL,7672.81,20:34:48,909
NK 0819,KMG,BCN,9030.12,18:57:41,1075
B6 2999,YVR,ICN,8201.29,14:41:56,1133
B6 0337,JNB,CAN,10670.41,13:13:22,1488
NK 0817,SZX,PEK,1957.05,09:42:29,363
B6 2991,CAN,YYZ,12441.36,12:00:14,4122
B6 1660,DOH,NBO,3352.67,17:38:56,447
B6 2990,JNB,MEX,14598.33,09:17:05,2467
B6 0332,MAD,FLL,7077.26,12:25:10,794
B6 2993,JNB,IAD,13095.34,17:11:01,1474
AS 9932,DMK,IAD,14133.24,08:51:17,1502
WN 4423,DOH,IST,2755.93,18:39:46,472
AS 9933,BOM,LGW,7193.01,08:15:19,923
AS 8602,HEL,MAN,1811.51,04:37:55,370
AS 8603,KUL,KIX,4943.26,07:06:52,585
WN 5752,CGK,DXB,6546.97,05:50:35,1678
F9 3510,MIA,BOM,14242.23,15:36:20,2086
F9 3526,MUC,DTW,6976.04,00:25:07,748
AA 4194,HAK,PHX,12565.63,16:20:04,1500
F9 4854,VIE,BCN,1369.69,19:23:32,307
AS 9925,PVG,DOH,6796.28,02:17:05,856
AA 4199,VIE,NKG,8260.78,10:01:03,1283
B6 0347,BWI,EWR,271.20,19:34:45,117
AA 4193,SAW,SEA,9799.65,08:05:59,1191
B6 1671,MAD,PMI,547.07,10:34:08,432
B6 1670,BOS,MAD,5473.01,23:26:06,756
WN 4413,KMG,CLT,13309.20,06:29:37,1392
WN 4411,CAN,AYT,7836.59,01:36:59,863
AS 9923,CDG,AUH,5251.94,10:06:40,1015
WN 5744,HAK,MEX,14581.99,10:09:47,1621
F9 2206,ARN,DEN,7769.39,23:18:41,1122
F9 3536,ATL,HND,11053.60,12:09:28,1517
DL 0292,HGH,LAS,10633.46,15:54:36,1151
F9 2203,LAS,FLL,3492.32,19:38:15,1106
F9 2204,BKK,HAK,1244.44,07:56:43,436
DL 0291,AMS,ARN,1151.81,07:00:08,311
AS 9914,DTW,SYD,15237.10,08:12:50,1687
F9 3538,AGP,TPA,7196.60,08:52:05,822
DL 0295,YYZ,BOS,715.05,10:31:26,273
B6 0392,DMK,HAK,1243.13,10:35:38,315
WN 4441,CTU,NKG,1382.20,23:05:19,204
WN 4445,ATL,NKG,12346.03,21:17:40,1326
F9 2202,DUB,WUH,9039.75,11:01:50,1038
WN 5776,JFK,BCN,6150.09,16:53,801
F9 4877,DMK,IAH,14842.97,19:00:13,1706
AS 9908,ATH,EWR,7956.81,23:32:25,2016
F9 3546,OSL,CTU,7295.28,02:08:25,1217
WN 3109,CPH,ORD,6853.95,17:15:39,924
AS 9903,SZX,DXB,5899.41,06:15,1171
DL 0282,MXP,CMB,7976.33,23:40:49,970
AS 9904,AMS,TPE,9442.14,17:35:52,1498
DL 0286,CPH,RUH,4384.05,19:29:31,674
DL 0289,BKK,LAS,13318.55,21:15:57,1469
DL 0288,ICN,DCA,11195.87,11:34:59,1169
WN 5760,CTU,DMK,1865.58,13:28:01,541
WN 4431,MCO,SZX,14109.45,08:16:19,1528
WN 3104,FLL,BLR,15034.48,23:42:55,2128
F9 3543,DUB,FLL,6660.35,01:10:45,881
WN 3106,BLR,SVO,5869.59,19:21:45,776
WN 3105,XIY,DMK,2425.74,03:29:51,478
F9 3559,HGH,BWI,12097.18,07:43:10,2134
F9 2228,AUH,CPH,4854.86,09:39:44,838
F9 3558,NRT,AGP,11181.35,22:42:07,1224
F9 4888,LGW,GRU,9446.76,20:46:17,1431
F9 2226,HAK,CJU,2188.56,14:45:49,531
WN 4460,PER,DXB,9041.46,05:12:33,989
G4 9191,OSL,MEX,9195.45,14:01:48,1034
F9 2223,DXB,ARN,4785.13,07:02:54,618
WN 3139,PER,BLR,6464.24,07:24:40,770
F9 4883,CTU,HND,3330.89,23:39:04,723
WN 3122,SFO,CLT,3687.28,00:06:06,826
WN 4453,DTW,CJU,11061.73,17:53:37,1337
B6 0386,LAX,IST,11002.31,18:51:43,1628
WN 4450,MXP,DMK,9050.68,11:36:02,1405
F9 2231,FRA,KIX,9260.65,11:14:39,1078
WN 4455,MIA,AYT,9993.39,03:23:31,1195
F9 4890,BNE,SHA,7334.27,04:09:18,899
G4 9185,FCO,SHA,9134.30,15:44:29,996
WN 5788,HNL,VIE,12275.40,21:46:43,1432
F9 3563,TPE,KUL,3246.08,23:28:13,530
G4 9188,JFK,DUB,5102.86,22:57:57,708
AA 6762,BNE,MCO,14713.15,07:54:31,1569
B6 1729,BLR,VIE,6790.46,18:19:59,757
B6 1723,FRA,EWR,6210.87,13:24:21,826
B6 1722,TPE,MIA,13904.12,01:04:40,2960
UA 4299,DCA,MUC,6821.74,14:33:03,906
UA 4291,TPA,BLR,14966.21,01:08:17,2068
UA 4292,XIY,DUB,8421.53,14:25:40,1363
F9 2121,CTU,JNB,10246.13,14:33:33,1176
F9 3450,DEL,BCN,6773.98,03:17:32,781
SY 8800,ATH,HEL,2489.66,11:39:31,457
AA 5428,HAK,DUB,9868.47,13:14:34,1153
AA 6752,SEA,DCA,3737.93,15:41:14,574
B6 0402,FLL,HNL,7817.31,12:19:05,858
UA 4288,CDG,SHA,9236.07,02:37:18,1108
B6 0401,ZRH,SYD,16568.00,20:15:24,1832
B6 1737,CLT,ATL,364.31,01:54:31,207
UA 4280,ATH,BCN,1904.50,01:02:50,391
UA 4281,YVR,MEL,13200.54,21:40:42,1384
F9 4790,SZX,NRT,2950.15,03:59:13,577
F9 2131,FCO,JFK,6865.56,05:58:49,934
F9 2132,ATH,TPA,9428.09,23:50:07,1696
AA 5414,BNE,FRA,16101.17,14:33:48,3434
AA 6746,DOH,CGK,6893.57,11:15:47,841
AA 4120,NBO,JFK,11836.94,12:52:38,1667
B6 1709,LHR,TPE,9783.22,23:43:58,1624
F9 2149,BKK,CLT,14574.28,07:42:46,1540
AA 4124,AYT,FLL,9962.90,15:07:28,1108
AA 4121,AUH,DTW,11441.96,03:42:53,2516
B6 1705,MNL,BOM,5136.07,10:18:06,701
AA 5447,SIN,RUH,6674.21,15:35:27,824
F9 2143,BWI,MNL,13769.48,23:52:05,1432
F9 3471,JFK,CGK,16176.87,10:36:38,2232
AA 4114,SVO,FLL,9166.46,21:42:02,1362
AA 6776,JED,AYT,1874.22,10:44:12,468
F9 3475,DUB,HGH,9391.41,18:39:47,2063
AA 6773,KIX,RUH,8347.76,16:03:48,887
F9 2151,FRA,PVG,8858.01,20:48:58,1292
F9 3483,CJU,BLR,5407.42,00:00:42,792
AA 4104,CTU,PER,7028.21,16:58:46,1141
F9 3482,KIX,BOS,11066.71,12:18:28,1317
AA 6767,SYD,MAN,17012.33,02:52:21,1855
F9 2156,ARN,CKG,7121.96,18:01:06,763
AA 4142,FCO,MSP,7867.95,02:01:57,1446
WN 5819,DOH,LHR,5240.93,16:53:32,585
AA 5472,ARN,SEA,7571.32,20:21:24,827
AA 5471,AMS,BOS,5547.75,02:44:48,735
AA 4144,MNL,CDG,10733.02,22:53:12,1132
B6 1769,CJU,CLT,11857.08,10:24:50,1259
B6 1768,BOS,ORD,1390.98,16:19:33,300
B6 1762,MIA,TPA,329.17,22:19:54,208
F9 2164,DFW,LGW,7660.27,01:23:17,1127
AA 4138,LAS,MSP,2087.72,11:18:53,331
SY 8845,BOG,DMK,17865.86,00:11:28,1936
AA 5467,TPA,FLL,316.80,09:53:32,129
SY 8844,FRA,MAN,831.81,20:10:12,189
AA 4136,HND,ATL,11053.60,17:20:35,3753
AA 6798,ATH,SIN,9043.59,01:55:12,1040
F9 3499,MXP,CKG,8260.64,01:36:01,967
F9 2169,IST,RUH,2456.78,09:55:39,318
SY 8848,OSL,DEN,7453.70,21:12:56,906
WN 5810,DTW,CGK,15882.72,16:00:10,3365
AA 5462,SIN,IAH,15971.69,01:27:28,1733
WN 5805,YYZ,KIX,10638.65,14:22:41,1256
AA 4133,DCA,HEL,6927.79,22:53:41,1296
AA 5464,JNB,DEN,15426.20,17:07:32,1722
AA 5463,AGP,LHR,1675.91,06:22:49,364
WN 5807,CTU,HND,3330.89,07:33:27,538
B6 0448,MCO,JED,11541.40,23:08:56,1818
F9 2172,HKG,HND,2902.14,15:45:03,793
B6 0443,KIX,VIE,9005.02,06:03:02,992
B6 0441,HND,BCN,10443.76,08:49:36,1548
F9 2175,TPE,SAN,11094.48,01:21:32,1177
SY 7500,BKK,CTU,1886.83,02:57:29,423
F9 2173,MAN,SHA,9157.77,13:35:37,976
WN 5802,FCO,MIA,8328.70,23:00:10,915
AA 4129,PMI,CAN,9980.22,01:53:51,1227
SY 8817,MEL,ARN,15583.38,19:09:01,1770
AA 4162,JFK,LGW,5568.95,00:06:40,1257
B6 0419,RUH,AMS,4640.34,01:21:42,800
AA 5499,MAD,CTU,9210.14,21:03:04,991
AA 5498,MXP,HNL,12449.28,23:57:02,1484
WN 5838,CTU,SHA,1615.84,10:07:11,299
B6 1742,SFO,MSP,2551.59,22:33:39,576
AA 5490,CTU,PER,7028.21,00:57:23,752
B6 1748,HAK,XIY,1622.41,09:09:23,391
B6 1746,MEX,MUC,9844.15,00:22:22,3270
B6 1741,SZX,SEA,10417.82,22:38:02,1192
F9 2183,DTW,BOS,1014.62,13:12:51,350
B6 1740,SZX,CJU,1731.76,09:41:21,379
AA 4159,ATH,HNL,13423.33,22:59:34,1517
SY 8826,SFO,CJU,9376.09,03:27:44,1355
SY 8807,AYT,HND,9128.95,15:41:32,1554
AA 5481,CGK,JED,7971.46,03:08:26,1380
WN 5827,JED,GRU,10530.24,06:03:02,1137
AA 4154,JED,BOS,9929.59,09:50:40,1842
B6 0424,HAK,SFO,11562.57,19:03:22,1405
B6 0422,TPE,HEL,7937.37,02:18:44,1295
AA 5480,LAS,IAD,3316.30,18:15:19,506
WN 5824,ICN,MNL,2607.68,01:10:15,417
SY 8812,IAH,SFO,2627.70,03:06,421
AA 5478,RUH,DEN,12221.00,21:39:27,1369
SY 8813,ATL,NRT,11000.89,01:28:05,1208
UA 5549,HEL,JFK,6607.14,00:07:38,865
UA 5540,OSL,LGW,1225.93,14:43:48,243
DL 2951,MXP,ORD,7260.00,19:30:35,910
UA 6873,KIX,HGH,1466.20,08:09:10,482
UA 5543,NKG,CDG,9049.37,10:22:02,1144
DL 1623,DEN,CMB,14763.89,15:35:46,1613
UA 6875,ARN,AYT,2692.63,05:34:02,751
UA 5545,LIS,JNB,8198.03,00:31:25,1168
UA 5546,DUB,HGH,9391.41,08:38:11,1013
DL 1622,HND,XIY,2817.28,07:50:04,748
UA 4216,PVG,MXP,9144.22,12:25:26,1426
DL 2953,SEA,HKG,10442.03,05:29:59,1456
DL 1618,DCA,ORD,982.47,08:03:59,335
SY 7553,DCA,HKG,13119.23,09:05:39,2163
UA 4207,ORD,FRA,6970.77,06:35:26,933
UA 6861,DUB,IAH,7317.43,08:03:54,1458
UA 6860,SYD,DUB,17215.28,10:15:08,1862
UA 5532,MIA,MEX,2051.13,04:34:14,527
UA 6862,MAN,DFW,7426.22,20:58:21,878
UA 6864,SAW,DOH,2693.92,22:44:24,739
DL 2944,ATL,DEN,1926.35,15:17:09,559
UA 5535,LAS,SEA,1394.76,00:49:17,354
UA 6866,SAW,DMK,7436.54,17:33:10,851
DL 2936,FCO,CLT,7725.79,01:09:04,920
DL 1606,HNL,YYZ,7470.84,13:59:16,1100
SY 8870,AMS,FLL,7410.66,21:02:17,974
DL 1604,LHR,MCO,6965.67,00:52:33,896
SY 8872,EWR,SEA,3854.51,09:28:19,478
DL 1607,ORD,HEL,7119.43,00:54:09,1429
SY 6211,BWI,BOM,12803.07,12:18:23,1522
SY 7547,LHR,NKG,9034.27,04:47:02,1105
SY 6215,ATL,CGK,16749.02,02:04:08,1762
SY 7546,MIA,CJU,12838.99,16:27,1872
SY 7549,ICN,CTU,2174.11,21:58:52,429
SY 8879,MNL,PHX,12270.93,05:42:01,1472
SY 6219,JED,LGW,4714.16,01:59:21,867
DL 2972,KIX,SAW,8730.75,08:57:22,1513
UA 6893,CAN,IAH,13337.79,17:27:58,2334
DL 2970,VIE,HAK,8651.52,03:18:53,1109
UA 5564,DMK,CTU,1865.58,17:45:35,480
DL 1640,MSP,SZX,12021.33,06:16:30,1439
UA 4237,MXP,CTU,8061.58,23:22:54,1305
UA 6890,GRU,CJU,18701.51,09:48:14,1930
SY 7530,WUH,ICN,1346.91,01:35:25,549
SY 6200,FRA,ATL,7408.55,02:40:40,798
SY 8864,HKG,SEA,10442.03,12:18:32,1248
SY 6204,HNL,CDG,11958.59,02:47:06,1428
SY 7536,SHA,HGH,137.94,16:32:57,90
SY 7537,OSL,JFK,5916.98,09:17:05,738
DL 2961,IAH,LHR,7762.72,04:55:09,1428
NK 9184,CPH,ATL,7390.89,02:34:32,897
UA 4221,BCN,LIS,994.18,02:17:59,319
UA 6885,NBO,FLL,12761.48,09:50:09,1339
NK 9180,AGP,SZX,10781.24,05:15,1298
UA 4226,HEL,CGK,10144.95,12:44:17,1143
DL 2959,CLT,BWI,580.70,01:37:56,252
DL 1629,CLT,PVG,12262.58,08:59:25,1637
SY 7527,DEN,BOS,2815.59,00:27:23,513
AA 6720,NKG,LAS,10607.07,17:23:16,1442
G4 0721,PER,IAH,17032.80,09:53:30,5313
G4 0725,BCN,AGP,765.97,00:39:03,267
G4 0726,NRT,ATL,11000.89,10:28:51,1336
SY 7592,CTU,CMB,3628.85,21:36:13,708
SY 6260,SZX,MIA,14419.26,22:24:35,1586
AS 6082,SIN,NBO,7462.68,16:19:53,893
SY 6263,AUH,DEL,2276.96,19:21:18,281
DL 2902,MNL,BOG,17302.36,12:57:29,1790
AS 6087,PER,SZX,6073.31,07:52:13,824
AS 6086,BCN,CDG,858.39,13:38:55,267
AS 6085,LIS,HKG,11003.37,22:38:19,1647
SY 6266,ZRH,JFK,6309.32,04:22:01,708
UA 4252,XIY,MIA,13248.92,06:36:10,1820
SY 7599,FRA,IAH,8401.04,16:15:28,1032
AS 6088,PER,JED,10106.32,20:08:27,1166
NK 9165,XIY,FRA,7798.33,18:16:24,925
UA 5575,HAK,CKG,1153.90,05:30:11,299
G4 0706,PHX,MEX,2016.66,20:55:30,628
SY 7580,VIE,TPA,8358.75,14:47:36,913
SY 7583,MEX,LAX,2500.04,12:55:42,507
G4 0708,LGW,ICN,8875.95,07:55:26,1070
SY 6255,NKG,SEA,9303.62,04:28:40,1931
AA 6709,BCN,SEA,8729.57,23:06:18,1801
UA 4240,ORD,PHX,2312.58,20:40:31,308
SY 7586,CTU,TPA,13491.46,02:49:40,2376
AA 6703,BWI,JNB,13034.30,03:33:48,2110
AA 6704,MEX,VIE,10165.31,08:59:42,1098
AA 6701,CKG,PER,6926.53,19:29:56,815
AA 6702,GRU,MUC,9856.81,14:33:08,1164
NK 9154,WUH,TPA,13244.34,13:47:15,1522
UA 4278,KUL,MXP,10020.87,19:06:31,1135
G4 0701,XIY,LAS,10947.59,14:06:02,6693
DL 1601,JED,VIE,3560.23,15:40:53,472
G4 0704,HND,TAO,1771.17,09:16:31,385
DL 1600,SIN,ICN,4626.02,08:22:26,799
AS 7392,CPH,TPE,8810.35,10:24:16,1104
DL 2925,SAN,CGK,14607.64,15:01:21,2398
AS 7390,FLL,CAN,14327.57,20:11:50,1644
AA 5409,ARN,PEK,6691.86,06:26:29,748
UA 4272,ATL,SAN,3037.64,20:10:31,443
SY 7573,AYT,ATH,616.23,23:40:34,197
SY 6246,JFK,OSL,5916.98,14:03:58,722
AS 6069,FRA,ATL,7408.55,00:23:01,1227
AS 7397,HNL,DCA,7776.83,09:48:10,971
AA 5408,WUH,SVO,6418.63,15:58:33,747
AA 6733,JFK,SZX,12934.93,10:48:31,1747
AA 5407,NBO,MSP,13146.33,04:59:42,3607
AA 6734,TPE,SAN,11094.48,05:10:09,1181
NK 9146,CTU,MCO,13454.53,21:16:25,1510
AA 5400,BWI,LHR,5833.91,17:33:09,758
NK 9143,CLT,SIN,15917.03,10:18:30,2293
NK 9140,YYZ,HND,10346.35,01:23:28,1431
UA 5596,ICN,PHX,10080.63,18:30:12,1112
AS 7384,NRT,BOM,6786.92,08:04:27,747
SY 6232,JED,CJU,8463.57,01:57:24,1034
DL 2919,SEA,MUC,8477.44,06:55:51,1347
SY 6233,LGW,IST,2460.71,14:57:09,401
DL 2917,BOG,FLL,2460.82,08:18:54,507
AS 7389,TAO,DFW,11401.19,18:33:41,1250
SY 6237,CAN,NRT,2945.31,11:43:07,492
SY 7569,LIS,CJU,10766.71,12:20:54,2137
UA 6912,YYZ,WUH,11616.48,11:17:36,1582
NK 9135,MEL,SEA,13174.20,13:30:32,1843
G4 1972,CMB,ZRH,8021.08,16:51:29,1438
DL 0378,NKG,JED,7827.29,12:21:46,999
AS 8581,KUL,OSL,9776.32,19:32:58,1133
WN 3272,LHR,BOS,5240.38,17:04:34,885
AS 8583,NRT,GRU,18492.32,21:16:35,3742
AS 8584,KIX,CAN,2455.58,02:40:15,791
WN 3275,NRT,HNL,6135.52,07:58:48,694
AS 7250,NRT,JED,9567.39,20:40:33,1081
AS 8589,DTW,CMB,14265.18,17:46:54,1531
NK 0792,DCA,PER,18609.93,00:04:32,2093
AS 7254,ZRH,MCO,7713.79,06:03:04,836
UA 6908,BKK,SEA,11986.85,21:33:57,1285
DL 0362,FCO,BLR,7008.52,14:14:57,1610
DL 1690,SAN,CGK,14607.64,02:50:08,1556
DL 1691,VIE,CMB,7451.23,06:07:35,894
G4 0633,BCN,BWI,6444.55,00:11:50,826
DL 0366,JED,LGW,4714.16,15:20:46,662
G4 1967,HEL,ORY,1928.68,03:18:28,391
DL 0367,BWI,CMB,14322.38,11:22:43,1666
G4 1969,MEL,CKG,8481.79,04:22:54,988
DL 1699,SIN,HKG,2565.63,02:12:24,377
SY 6293,AYT,MEL,14307.37,23:10:22,1618
AS 8570,AGP,MXP,1485.77,10:30:51,351
WN 3260,CKG,CDG,8493.03,03:37:35,938
NK 0787,CDG,MAN,588.20,10:13:20,175
WN 4596,KIX,HAK,2920.94,22:29:01,498
WN 4593,LGW,DUB,484.58,21:15:50,206
WN 4598,JFK,HAK,13265.07,21:20:36,1421
AS 8574,CMB,WUH,4429.25,13:57:02,603
AS 8577,LHR,WUH,8873.47,23:45:53,1233
NK 9116,MUC,OSL,1317.69,07:53:24,417
DL 0391,KMG,MXP,8347.38,00:23:17,906
NK 9112,VIE,BOS,6505.05,04:02:52,1197
DL 0397,LAS,BOG,5448.35,04:05:23,682
G4 1953,CKG,XIY,561.99,10:27:25,110
G4 1955,ORY,ATH,2106.12,13:15:14,460
G4 0625,MXP,SAW,1741.89,15:21:44,424
UA 6931,HEL,HAK,7846.23,10:33:40,1398
