Date,FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
2026-02-15,AA 2524,SEA,TPA,4051.00,06:29:51,613
2026-02-15,NK 9653,MNL,SAN,11905.74,20:59:05,1412
2026-02-15,AA 5031,BWI,PMI,6582.11,01:04:53,1173
2026-02-15,F9 2885,HGH,PER,6929.00,12:09:58,768
2026-02-15,WN 4528,AGP,CTU,9518.21,00:23:22,1129
2026-02-15,G4 3874,MAD,PEK,9204.47,04:19:47,1000
2026-02-15,WN 6707,SAN,CTU,11748.34,06:16:26,1423
2026-02-15,SY 3860,KUL,CAN,2612.71,20:56:20,340
2026-02-15,G4 1216,VIE,HEL,1460.22,09:55:03,349
2026-02-15,UA 9346,AYT,PMI,2458.90,04:14:47,372
2026-02-15,DL 5666,IST,LHR,2488.28,09:10:48,598
2026-02-15,F9 8070,SVO,SIN,8451.04,15:38:24,898
2026-02-15,UA 0653,BOG,PHX,5051.58,23:12:37,907
2026-02-15,G4 9294,SIN,LHR,10882.81,04:46:41,1222
2026-02-15,NK 0830,DTW,MEL,15930.20,01:11:42,1667
2026-02-15,AS 3171,KMG,CPH,7744.02,20:44:45,897
2026-02-15,G4 0369,CMB,AMS,8366.58,15:11:19,1035
2026-02-15,B6 9045,VIE,PMI,1457.75,20:56:06,358
2026-02-15,AS 8745,YYZ,BOG,4367.18,07:30:05,520
2026-02-15,WN 3559,SAN,CPH,9100.22,04:15,1143
2026-02-15,NK 9887,HND,ARN,8168.00,14:01:56,1422
2026-02-15,SY 1679,ORY,HAK,9601.75,03:31:57,1188
2026-02-15,SY 4602,CTU,PER,7028.21,07:55:51,1060
2026-02-15,F9 3986,LAS,IAD,3316.30,18:34:08,757
2026-02-15,G4 1685,YVR,MSP,2304.07,12:41:40,313
2026-02-15,NK 5040,PVG,DOH,6796.28,01:10:57,1055
2026-02-15,DL 5771,RUH,ZRH,4174.40,00:23:16,562
2026-02-15,UA 9335,SFO,AGP,9576.93,12:19:58,1461
2026-02-15,UA 1854,BOS,MEL,16941.11,15:28:38,1843
2026-02-15,UA 2943,FRA,LHR,653.50,12:01:50,252
2026-02-15,B6 4847,JFK,CJU,11511.73,13:05:24,1231
2026-02-15,UA 8240,CDG,MAD,1061.65,16:55:09,301
2026-02-15,G4 0237,MSP,SYD,14499.10,21:11:32,1632
2026-02-15,WN 2216,KUL,ARN,9395.51,12:56:53,1073
2026-02-15,F9 4604,SAW,IST,62.74,09:46:30,166
2026-02-15,SY 3964,ATH,EWR,7956.81,12:02:05,873
2026-02-15,F9 1579,DMK,MCO,15302.16,05:05:32,1630
2026-02-15,F9 4607,ATL,MEL,15591.95,14:52:26,1778
2026-02-15,DL 3263,DEN,SVO,8775.29,07:23:30,1366
2026-02-15,AS 9937,AUH,NKG,6263.22,13:08:23,725
2026-02-15,SY 0450,MEL,LIS,17746.38,23:21:11,2483
2026-02-15,UA 2617,MEX,HGH,13060.86,16:36:36,1758
2026-02-15,AA 1807,CDG,MEL,16757.12,18:09:57,3360
2026-02-15,F9 8084,BNE,LAS,11899.04,13:07:28,1336
2026-02-15,WN 1274,WUH,TPA,13244.34,19:43:36,1486
2026-02-15,WN 5634,HND,CJU,1237.22,03:53:59,302
2026-02-15,B6 7088,KUL,BLR,2883.60,09:22:45,341
2026-02-15,WN 4544,LIS,SAN,9142.24,16:01:35,1735
2026-02-15,WN 5633,AYT,KIX,8886.88,02:47:43,1293
2026-02-15,F9 4963,KMG,MNL,2235.98,09:59:49,338
2026-02-15,WN 3215,HEL,TPA,8225.65,09:29:09,963
2026-02-15,DL 7852,MIA,CKG,13798.05,15:11:43,1605
2026-02-15,DL 3490,TPE,TAO,1259.34,20:57:53,233
2026-02-15,SY 1552,ARN,TAO,7205.14,10:36:19,1733
2026-02-15,G4 4810,YYZ,LGW,5739.05,22:39:19,662
2026-02-15,UA 8260,MNL,DOH,7282.45,11:30:14,786
2026-02-15,AA 1912,HEL,HNL,10933.82,21:42:48,1152
2026-02-15,B6 3971,LAS,ARN,8532.82,08:43:20,1374
2026-02-15,NK 8526,DTW,SEA,3092.98,19:00:58,522
2026-02-15,G4 9027,ORD,FRA,6970.77,22:40:39,864
2026-02-15,B6 9153,TPE,MAN,9742.28,10:49:38,2191
2026-02-15,NK 3198,IST,MSP,8831.48,08:37:39,1002
2026-02-15,F9 1583,PMI,CDG,1051.79,08:25:30,347
2026-02-15,NK 6226,WUH,DEN,11195.52,18:00:42,1518
2026-02-15,DL 2591,ZRH,HEL,1778.19,20:56:13,512
2026-02-15,NK 8640,OSL,GRU,10649.53,08:04:51,1175
2026-02-15,NK 3191,AYT,ZRH,2165.57,02:02:27,387
2026-02-15,G4 2224,VIE,MIA,8383.36,17:50:38,1065
2026-02-15,G4 4408,EWR,HAK,13256.94,06:24:31,1516
2026-02-15,AA 6162,ORY,WUH,8894.63,21:53:54,944
2026-02-15,B6 4878,NRT,BOG,14253.27,21:48:13,1482
2026-02-15,DL 6712,PMI,CKG,9017.43,06:19:20,1046
2026-02-15,B6 2330,HNL,NRT,6135.52,10:57:29,858
2026-02-15,WN 5531,EWR,DMK,13919.80,18:48:04,1485
2026-02-15,SY 5850,EWR,AYT,8497.85,12:56:43,1071
2026-02-15,NK 8638,MIA,CDG,7370.93,14:12:38,878
2026-02-15,AS 6766,ORY,DTW,6362.40,23:04:11,733
2026-02-15,F9 2441,DOH,NKG,6509.00,01:36:57,1572
2026-02-15,NK 4036,SZX,MNL,1180.42,22:16:21,255
2026-02-15,WN 4569,HGH,LAX,10580.08,11:06:10,1262
2026-02-15,WN 6745,HKG,MEX,14150.85,00:16:23,1509
2026-02-15,UA 7081,NBO,DCA,12154.96,07:03:04,1331
2026-02-15,DL 1490,SIN,SAW,8626.91,03:19:47,1013
2026-02-15,AA 9665,LAX,KUL,14162.70,06:41:51,1593
2026-02-15,F9 6817,KIX,TPA,12018.76,23:08:07,1299
2026-02-15,F9 1005,MNL,AYT,9064.68,19:51:01,1080
2026-02-15,SY 3554,BWI,MAN,5654.58,23:55:28,810
2026-02-15,AA 6153,AGP,CKG,9721.49,05:45:19,1695
2026-02-15,AA 5067,BCN,SAN,9702.34,21:11:58,1407
2026-02-15,DL 3434,DFW,KUL,15588.01,08:08:16,1620
2026-02-15,UA 1896,MAN,BKK,9630.24,04:11:19,1173
2026-02-15,B6 2225,ORD,LAS,2431.39,23:07:53,374
2026-02-15,AA 0848,MSP,MEL,15201.72,11:16:53,1971
2026-02-15,NK 6569,MEL,PER,2700.77,01:44:55,422
2026-02-15,AS 1183,KUL,FRA,9998.06,09:38:22,1199
2026-02-15,NK 5359,CTU,MSP,11464.09,09:02:27,1289
2026-02-15,AS 3484,RUH,PEK,6597.71,08:49:20,1591
2026-02-15,NK 5119,PVG,ORD,11334.11,14:22:53,1196
2026-02-15,F9 2333,AUH,KUL,5588.36,04:51:22,689
2026-02-15,F9 3421,IAH,CPH,8322.04,08:05:32,986
2026-02-15,NK 5235,MUC,DTW,6976.04,05:53:11,844
2026-02-15,DL 6972,LAS,PHX,411.29,12:42:08,110
2026-02-15,SY 6918,CGK,YVR,13342.38,21:11,3162
2026-02-15,SY 1222,SHA,FCO,9134.30,03:32:52,1337
2026-02-15,G4 5955,LAS,RUH,12965.10,11:53:05,1538
2026-02-15,UA 5927,DXB,ZRH,4767.98,02:21:38,711
2026-02-15,UA 0472,JNB,MEL,10319.09,03:18:48,1247
2026-02-15,B6 3768,BNE,HEL,14695.85,23:51:50,1540
2026-02-15,B6 5829,HAK,MEX,14581.99,22:27:31,2111
2026-02-15,B6 2799,NKG,ATH,8292.60,04:21:35,1125
2026-02-15,WN 4460,TPA,DEN,2422.29,01:02:51,478
2026-02-15,WN 4222,SEA,BNE,11829.28,22:10:57,1232
2026-02-15,WN 1197,KIX,LHR,9531.42,06:59:42,1200
2026-02-15,NK 4017,KUL,EWR,15167.25,09:24:50,1628
2026-02-15,WN 9917,DMK,WUH,2335.22,11:34:35,439
2026-02-15,AS 7711,SVO,MAN,2533.44,02:37:22,487
2026-02-15,WN 8707,SAN,ORD,2767.74,19:40:56,342
2026-02-15,AA 0631,BLR,PHX,14728.08,09:24,1527
2026-02-15,F9 3433,DXB,RUH,873.13,01:57:44,167
2026-02-15,SY 5713,CPH,NRT,8711.81,00:31:29,1018
2026-02-15,AS 1056,CJU,PEK,1142.76,00:20:03,327
2026-02-15,SY 1597,SHA,DUB,9337.94,14:58:47,1078
2026-02-15,AS 3105,SYD,MSP,14499.10,14:54:10,1575
2026-02-15,B6 0147,ATL,ZRH,7531.18,23:12:17,831
2026-02-15,G4 6914,AYT,DXB,2662.32,15:29:54,948
2026-02-15,DL 3455,CPH,CDG,1003.83,14:14:12,284
2026-02-15,AA 1716,PER,OSL,13850.52,13:15:07,1520
2026-02-15,B6 5952,IST,TAO,7545.27,23:10:50,955
2026-02-15,B6 0263,CJU,JNB,12289.50,14:53:37,1379
2026-02-15,WN 3000,SEA,TPE,9756.77,14:40:35,1051
2026-02-15,G4 0139,CLT,KIX,11406.27,12:55:07,1291
2026-02-15,B6 2685,KIX,ICN,860.45,03:55:11,336
2026-02-15,AS 2373,SAN,VIE,9917.87,22:56,1593
2026-02-15,WN 2155,MCO,PHX,2969.33,19:18:39,457
2026-02-15,SY 5942,CAN,JNB,10670.41,13:07:14,1161
2026-02-15,AS 3587,MAN,LAX,8529.68,12:05:58,1076
2026-02-15,F9 0178,SIN,YYZ,14995.24,22:22:28,1635
2026-02-15,F9 4532,MIA,OSL,7614.95,19:44:10,1152
2026-02-15,SY 1349,SAW,JED,2329.07,12:37:45,428
2026-02-15,F9 3684,SEA,CLT,3660.41,04:33:03,572
2026-02-15,AA 2282,IST,CAN,7882.09,07:01:02,942
2026-02-15,DL 6234,MCO,ORY,7233.79,21:52:34,1187
2026-02-15,G4 2387,ZRH,FRA,286.13,23:43:06,164
2026-02-15,AS 2248,DFW,DOH,12744.47,19:42:04,1428
2026-02-15,G4 3354,ATL,NBO,12951.68,12:29:52,1378
2026-02-15,G4 3115,LGW,SVO,2506.99,06:58:55,414
2026-02-15,G4 2389,ZRH,AYT,2165.57,19:06:56,442
2026-02-15,SY 2012,DXB,SIN,5846.59,04:06:10,2872
2026-02-15,B6 0875,BOS,SAN,4155.51,09:50:01,816
2026-02-15,DL 9508,BKK,HAK,1244.44,11:00:34,266
2026-02-15,SY 2250,DMK,SVO,7074.80,22:58:54,782
2026-02-15,B6 2814,MEL,LAS,13132.49,19:12:29,2106
2026-02-15,B6 0750,XIY,MCO,12943.79,10:36:12,1464
2026-02-15,B6 8357,BNE,IAH,13434.55,10:54:51,1511
2026-02-15,B6 8475,SAN,HKG,11837.92,19:06:43,1243
2026-02-15,UA 3084,LAS,NBO,15197.51,00:21:36,5025
2026-02-15,SY 6986,KMG,SAW,6876.17,11:52:15,1133
2026-02-15,NK 2296,IAD,DXB,11354.64,08:22:31,1279
2026-02-15,NK 7501,FLL,YYZ,1958.18,22:59:15,255
2026-02-15,F9 2485,ARN,SIN,9657.58,17:40:01,1117
2026-02-15,AA 6992,PVG,SAN,10589.12,21:57:58,1789
2026-02-15,DL 6465,ZRH,CDG,476.34,22:04:35,445
2026-02-15,B6 8490,MNL,HKG,1145.52,04:32:10,171
2026-02-15,G4 2013,MSP,NRT,9551.61,20:11,1752
2026-02-15,AA 1186,HND,DCA,10918.53,23:21:38,1142
2026-02-15,SY 2385,DOH,PVG,6796.28,20:39:28,916
2026-02-15,G4 3229,ATH,LAX,11126.89,12:44:59,1563
2026-02-15,WN 8161,NRT,DCA,10870.45,22:00:37,2586
2026-02-15,DL 4169,GRU,PMI,8666.82,02:35:33,958
2026-02-15,DL 6105,MEX,BOS,3664.73,07:35:10,437
2026-02-15,DL 7437,CJU,MUC,8848.77,02:26:12,1362
2026-02-15,AA 4568,JED,ORY,4422.99,04:54:33,561
2026-02-15,NK 8825,DUB,HGH,9391.41,20:30:49,1185
2026-02-15,AA 2267,PVG,AYT,8076.45,02:46:38,877
2026-02-15,AA 5412,JFK,BWI,295.51,02:58:49,240
2026-02-15,WN 2733,LHR,TPA,7085.20,14:35:30,903
2026-02-15,DL 4076,BOM,MUC,6312.74,20:17:11,1085
2026-02-15,SY 2116,WUH,HEL,7032.01,18:58:17,841
2026-02-15,WN 4827,CPH,MXP,1144.03,01:45:52,236
2026-02-15,AS 0169,DXB,LAS,13122.44,11:14,1508
2026-02-15,G4 3576,MXP,BOG,9080.25,13:37:36,1447
2026-02-15,G4 3457,PEK,MUC,7722.64,22:04:03,970
2026-02-15,B6 0975,MAN,ICN,8778.89,10:29:44,1018
2026-02-15,AA 3390,SAN,IST,11076.80,12:36:42,1813
2026-02-15,WN 2400,BOM,GRU,13755.26,11:14:59,2027
2026-02-15,F9 4320,SHA,DEN,10800.20,13:00:15,1647
2026-02-15,SY 5512,DTW,MXP,6951.61,01:51:39,882
2026-02-15,AA 6413,ATL,LHR,6760.95,14:34:52,751
2026-02-15,NK 3484,ATL,SIN,16025.64,04:15:07,1827
2026-02-15,SY 4427,JFK,KIX,11153.83,09:25:18,1253
2026-02-15,AS 2698,CKG,HND,3154.52,02:16:50,536
2026-02-15,DL 9996,PEK,MAN,8092.86,15:22:21,1860
2026-02-15,DL 3097,KMG,ATH,7395.43,01:15:51,1862
2026-02-15,WN 1547,YYZ,CPH,6268.80,23:44:56,2730
2026-02-15,G4 4773,ZRH,MIA,7844.56,00:20:42,912
2026-02-15,DL 7451,NBO,HGH,9458.36,14:28:09,1641
2026-02-15,AA 4231,LHR,BLR,8046.02,21:45:43,1168
2026-02-15,UA 5397,LAX,PMI,9850.20,10:00:35,1726
2026-02-15,SY 3570,ATH,HGH,8512.60,14:36:42,994
2026-02-15,SY 3690,DFW,KMG,13245.23,12:59:12,1525
2026-02-15,B6 1830,LAX,NKG,10567.03,02:26:41,1134
2026-02-15,B6 9678,CGK,SAN,14607.64,21:14:25,2359
2026-02-15,B6 5199,ORD,DCA,982.47,02:10:58,148
2026-02-15,F9 3485,TPA,VIE,8358.75,15:32:23,948
2026-02-15,NK 3115,DUB,OSL,1292.03,17:31:18,436
2026-02-15,NK 6623,MSP,HGH,10994.36,11:58:47,1257
2026-02-15,SY 6953,JFK,CKG,12191.23,01:29:16,1836
2026-02-15,F9 9900,PVG,LIS,10731.24,11:17:34,1274
2026-02-15,WN 3603,MXP,CTU,8061.58,21:50:45,1001
2026-02-15,NK 5530,DCA,LIS,5736.92,17:15:06,803
2026-02-15,WN 1546,CPH,RUH,4384.05,19:22:46,841
2026-02-15,WN 0336,JED,HND,9526.72,23:41:07,1195
2026-02-15,G4 9934,LGW,DFW,7660.27,20:29:42,1210
2026-02-15,B6 7071,BNE,ATH,15175.92,11:37:02,1694
2026-02-15,NK 3471,CMB,DUB,9112.43,01:02:16,1117
2026-02-15,NK 4440,LIS,LHR,1564.70,19:46:04,230
2026-02-15,AS 6921,HGH,CAN,1038.40,20:16:43,348
2026-02-15,F9 6889,SFO,TAO,9579.60,02:36:29,1020
2026-02-15,UA 8577,SHA,BNE,7334.27,16:45:42,1281
2026-02-15,SY 4352,AYT,CJU,8296.45,20:58:29,1042
2026-02-15,UA 7245,AMS,ORD,6612.51,05:35:56,1077
2026-02-15,DL 4137,MIA,SFO,4154.25,13:48:34,475
2026-02-15,DL 6315,TPA,MCO,130.31,08:08:09,178
2026-02-15,UA 1938,LIS,KIX,11086.52,14:09:59,1260
2026-02-15,WN 3751,JNB,BKK,8996.96,14:58:15,1567
2026-02-15,NK 3106,CKG,DXB,5041.91,02:55:52,670
2026-02-15,F9 5672,MAD,CJU,10323.08,02:52:47,1119
2026-02-15,AS 0265,MIA,MXP,7919.54,14:52:59,981
2026-02-15,AS 2797,HND,SYD,7817.84,03:49:54,917
2026-02-15,DL 7753,SFO,YVR,1288.50,23:14:43,292
2026-02-15,G4 6895,GRU,HKG,18003.79,19:46:49,1856
2026-02-15,G4 6532,ORD,LIS,6435.89,05:44:21,873
2026-02-15,SY 4005,MSP,SEA,2244.65,18:13:32,432
2026-02-15,NK 1041,PVG,AMS,8910.18,03:04:19,958
2026-02-15,DL 8728,ARN,HND,8168.00,01:08:11,1848
2026-02-15,NK 4548,WUH,MEX,13394.85,11:11:24,2221
2026-02-15,B6 0564,ICN,BWI,11172.06,15:01:49,1638
2026-02-15,UA 0717,DCA,MAD,6097.97,21:44:42,770
2026-02-15,F9 2296,LAS,RUH,12965.10,19:29:54,1454
2026-02-15,SY 7624,LGW,KIX,9549.14,16:22:15,1086
2026-02-15,F9 4351,CAN,BWI,12981.02,02:23:58,1377
2026-02-15,WN 1320,LHR,RUH,4940.08,02:42:18,594
2026-02-15,WN 3867,DEN,DOH,12367.03,15:59:06,1465
2026-02-15,F9 6771,CGK,BOG,19833.52,14:20:44,2110
2026-02-15,NK 1279,PHX,PEK,10437.16,17:13:42,1899
2026-02-15,AS 5940,WUH,GRU,17939.59,12:46:45,2483
2026-02-15,AS 0124,PMI,NKG,9712.54,20:19:32,1107
2026-02-15,DL 6334,SFO,FCO,10057.53,20:23:11,1792
2026-02-15,F9 8848,OSL,IST,2425.98,15:00:50,396
2026-02-15,G4 4588,CTU,MSP,11464.09,01:35:48,1506
2026-02-15,SY 4695,FRA,KMG,8190.27,21:25:12,1295
2026-02-15,DL 5368,DEL,MEL,10191.22,09:43:12,2082
2026-02-15,B6 3806,NKG,CGK,4405.29,22:48:58,553
2026-02-15,F9 4001,BKK,JNB,8996.96,09:05:04,1362
2026-02-15,AS 0480,BNE,ICN,7729.11,10:59:57,1240
2026-02-15,AS 3873,MNL,CLT,14020.82,23:58:47,1528
2026-02-15,F9 9931,JFK,CTU,12123.12,14:31:06,1295
2026-02-15,WN 2327,JED,MEX,13571.13,06:27:26,1560
2026-02-15,B6 6074,MXP,DOH,4422.76,09:20:30,591
2026-02-15,NK 5500,AUH,ICN,6836.60,07:05:23,772
2026-02-15,SY 4349,ICN,KUL,4611.47,21:34:30,876
2026-02-15,AA 3188,YVR,HNL,4354.00,23:45:15,683
2026-02-15,AA 8751,YVR,CKG,9949.64,03:03:25,1181
2026-02-15,G4 3249,SHA,BNE,7334.27,21:11:12,828
2026-02-15,G4 6513,MSP,ICN,10031.42,23:55:14,1786
2026-02-15,UA 7499,AMS,ICN,8551.97,02:36:19,1097
2026-02-15,B6 2724,HGH,CGK,4301.14,22:18:08,825
2026-02-15,DL 3179,ATL,PHX,2548.63,10:33:48,451
2026-02-15,UA 0987,BOM,ATL,13676.60,09:12:28,1434
2026-02-15,B6 3817,GRU,CGK,15619.91,16:06:16,2252
2026-02-15,B6 0781,HGH,MEL,7965.55,18:27:22,1840
2026-02-15,SY 5783,MIA,ORY,7364.80,17:53:26,818
2026-02-15,B6 9474,DEN,NBO,14237.42,16:52:11,1606
2026-02-15,UA 3127,ZRH,SHA,8998.49,01:43:47,1131
2026-02-15,WN 1935,AGP,LAS,9220.99,16:45:31,3039
2026-02-15,NK 3791,SEA,SFO,1092.94,09:55:46,346
2026-02-15,AA 0382,PHX,DOH,13260.72,08:38:53,1777
2026-02-15,UA 6876,AMS,TAO,8341.36,16:53:25,1597
2026-02-15,DL 1864,MXP,DEL,6158.23,00:52:34,902
2026-02-15,B6 6578,FRA,CGK,11106.89,02:45:41,1590
2026-02-15,B6 7542,HGH,SAW,7953.79,20:32:44,1171
2026-02-15,B6 4036,MEX,MSP,2880.92,10:11:55,403
2026-02-15,WN 5055,LIS,ORD,6435.89,10:58:25,813
2026-02-15,UA 3360,DOH,LIS,5812.36,16:45:22,1021
2026-02-15,F9 3297,AMS,MEX,9206.49,12:08:06,1470
2026-02-15,AA 1100,SFO,HND,8285.64,07:24:20,980
2026-02-15,SY 7557,SYD,IST,14971.46,01:48:20,2945
